brand,avg_price,min_price,max_price,product_count
cotaryl Cream,120.0,120.0,120.0,1
iFFALCON,19499.0,19499.0,19499.0,1
iQOO,28399.0,14999.0,61999.0,5
kridhrish Metal,207.0,207.0,207.0,1
pTron Studio,723.0,649.0,797.0,2
ramakrishnavan Perfect,150.0,150.0,150.0,1
realme,15124.0,11499.0,20999.0,8
realme NARZO,18165.67,11499.0,23999.0,3
realme TechLife,16161.5,11399.0,22999.0,4
realme narzo,15999.0,15999.0,15999.0,1
sandook Roasting,123.0,123.0,123.0,1
skinclinic STRETCH,360.0,360.0,360.0,1
truke Aura,1199.0,1199.0,1199.0,1
vivo,24099.0,22499.0,26999.0,5
,403.25,180.0,936.0,16
